Customer ID,age,Product Name,Product Type,Description,Sport,Product ID
CID000,53,HandBlaze Warmers (Reusable),Warm Up,Reusable hand warmers to keep hands warm during cold weather games.,basketball,PID055
CID000,53,Pitching Target Net,Net,Portable net for practicing pitching accuracy and pitch development.,baseball,PID017
CID000,53,Whisper Quiet Cart Umbrella,Golf Umbrella,Large umbrella designed for use on a golf cart,golf,PID032
CID000,53,Titan X,Shin Guards,Lightweight and breathable shin guards with impact-absorbing padding for optimal protection.,soccer,PID000
CID000,53,Eagle Grip,Gloves,Premium goalkeeper gloves with exceptional grip and finger protection for confident saves.,soccer,PID003
CID001,23,Hydration Hero,Hydration,Lightweight and insulated backpack with a hydration bladder for keeping players hydrated during training and games.,soccer,PID007
CID001,23,Pro Touch,Ball,Durable training soccer ball with a textured surface for improved ball control and touch.,soccer,PID002
CID001,23,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID001,23,Sure-Strike Impact Mat,Practice Mat,Mat for practicing hitting golf balls,golf,PID037
CID002,61,Laser Line Putting Laser,Putting Laser,Projects a laser line to aid putting alignment,golf,PID043
CID003,31,IceShield Shin Guards,Shin Guards,Durable shin guards with impact-absorbing padding for optimal protection.,hockey,PID020
CID004,36,Fresh Feet Deodorizer Spray,Deodorizer,Eliminates unpleasant odors from basketball shoes.,basketball,PID062
CID005,48,DuraNet (Set of 4),Equipment,Heavy-duty corner flags with weighted bases for secure positioning and weather resistance.,soccer,PID006
CID005,48,Power Swing Training Aid,Swing Trainer,Tool to improve golf swing mechanics,golf,PID039
CID005,48,Greenkeeper Ball Retriever,Ball Retriever,Tool to retrieve golf balls from water hazards,golf,PID033
CID005,48,Hawkkeye Putting Putter,Putter,Golf club for putting on the green,golf,PID028
CID005,48,Pro Touch,Ball,Durable training soccer ball with a textured surface for improved ball control and touch.,soccer,PID002
CID005,48,IceShield Shin Guards,Shin Guards,Durable shin guards with impact-absorbing padding for optimal protection.,hockey,PID020
CID005,48,GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
CID006,19,Eagle Eye Rangefinder,Rangefinder,Device to measure distance to the green,golf,PID034
CID007,53,Pitching Target Net,Net,Portable net for practicing pitching accuracy and pitch development.,baseball,PID017
CID008,38,Power Swing Training Aid,Swing Trainer,Tool to improve golf swing mechanics,golf,PID039
CID009,45,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID010,64,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID010,64,Eagle Eye Rangefinder,Rangefinder,Device to measure distance to the green,golf,PID034
CID010,64,Power Swing Training Aid,Swing Trainer,Tool to improve golf swing mechanics,golf,PID039
