Customer ID,age
CID000,53
CID001,23
CID002,61
CID003,31
CID004,36
CID005,48
CID006,19
CID007,53
CID008,38
CID009,45
CID010,64
CID011,59
CID012,60
CID013,51
CID014,44
CID015,26
CID016,34
CID017,39
CID018,35
CID019,25
CID020,27
CID021,39
CID022,64
CID023,22
CID024,31
CID025,56
CID026,38
CID027,28
CID028,64
CID029,51
CID030,21
CID031,41
CID032,20
CID033,26
CID034,15
CID035,31
CID036,37
CID037,44
CID038,21
CID039,51
CID040,53
CID041,55
CID042,50
CID043,60
CID044,42
CID045,28
CID046,22
CID047,63
CID048,46
CID049,40
CID050,18
CID051,51
CID052,63
CID053,26
CID054,25
CID055,24
CID056,31
CID057,24
CID058,39
CID059,16
CID060,33
CID061,19
CID062,60
CID063,49
CID064,54
CID065,37
CID066,17
CID067,44
CID068,36
CID069,59
CID070,39
CID071,24
CID072,21
CID073,25
CID074,22
CID075,46
CID076,27
CID077,54
CID078,25
CID079,60
CID080,64
CID081,59
CID082,36
CID083,38
CID084,62
CID085,23
CID086,57
CID087,48
CID088,46
CID089,44
CID090,29
CID091,51
CID092,38
CID093,61
CID094,33
CID095,46
CID096,61
CID097,29
CID098,53
CID099,44
CID100,50
CID101,41
CID102,22
CID103,25
CID104,62
CID105,20
CID106,47
CID107,20
CID108,44
CID109,44
CID110,49
CID111,48
CID112,45
CID113,30
CID114,16
CID115,41
CID116,62
CID117,38
CID118,36
CID119,29
CID120,35
CID121,42
CID122,46
CID123,60
CID124,35
CID125,26
CID126,21
CID127,38
CID128,38
CID129,21
CID130,59
CID131,26
CID132,58
CID133,60
CID134,28
CID135,54
CID136,43
CID137,26
CID138,20
CID139,62
CID140,49
CID141,32
CID142,62
CID143,29
CID144,36
CID145,48
CID146,53
CID147,51
CID148,54
CID149,26
CID150,48
CID151,28
CID152,45
CID153,30
CID154,50
CID155,18
CID156,62
CID157,34
CID158,33
CID159,33
CID160,48
CID161,33
CID162,49
CID163,44
CID164,43
CID165,23
CID166,29
CID167,17
CID168,46
CID169,19
CID170,38
CID171,53
CID172,39
CID173,62
CID174,18
CID175,47
CID176,43
CID177,38
CID178,51
CID179,47
CID180,35
CID181,29
CID182,50
CID183,32
CID184,44
CID185,62
CID186,62
CID187,46
CID188,15
CID189,50
CID190,40
CID191,43
CID192,51
CID193,56
CID194,28
CID195,52
CID196,63
CID197,48
CID198,37
CID199,39
CID200,40
CID201,16
CID202,44
CID203,45
CID204,64
CID205,25
CID206,49
CID207,41
CID208,42
CID209,54
CID210,39
CID211,45
CID212,38
CID213,37
CID214,50
CID215,33
CID216,35
CID217,50
CID218,27
CID219,28
CID220,64
CID221,33
CID222,17
CID223,50
CID224,41
CID225,48
CID226,35
CID227,42
CID228,21
CID229,62
CID230,22
CID231,61
CID232,41
CID233,60
CID234,54
CID235,32
CID236,63
CID237,19
CID238,60
CID239,59
CID240,46
CID241,59
CID242,21
CID243,46
CID244,40
CID245,58
CID246,44
CID247,45
CID248,19
CID249,29
CID250,54
CID251,54
CID252,17
CID253,26
CID254,61
CID255,23
CID256,27
CID257,20
CID258,53
CID259,46
CID260,29
CID261,64
CID262,27
CID263,58
CID264,54
CID265,39
CID266,26
CID267,47
CID268,20
CID269,46
CID270,52
CID271,63
CID272,48
CID273,42
CID274,17
CID275,48
CID276,19
CID277,29
CID278,23
CID279,64
CID280,26
CID281,60
CID282,27
CID283,58
CID284,38
CID285,56
CID286,48
CID287,20
CID288,57
CID289,64
CID290,26
CID291,37
CID292,57
CID293,31
CID294,24
CID295,43
CID296,29
CID297,32
CID298,36
CID299,55
CID300,54
CID301,58
CID302,35
CID303,54
CID304,16
CID305,41
CID306,17
CID307,24
CID308,50
CID309,30
CID310,45
CID311,34
CID312,44
CID313,58
CID314,25
CID315,49
CID316,16
CID317,36
CID318,49
CID319,54
CID320,25
CID321,62
CID322,43
CID323,58
CID324,17
CID325,52
CID326,63
CID327,37
CID328,24
CID329,43
CID330,37
CID331,30
CID332,62
CID333,18
CID334,47
CID335,63
CID336,46
CID337,49
CID338,39
CID339,32
CID340,16
CID341,23
CID342,30
CID343,16
CID344,17
CID345,61
CID346,52
CID347,28
CID348,64
CID349,57
CID350,38
CID351,63
CID352,32
CID353,62
CID354,43
CID355,45
CID356,56
CID357,16
CID358,49
CID359,57
CID360,39
CID361,28
CID362,53
CID363,27
CID364,39
CID365,30
CID366,28
CID367,61
CID368,56
CID369,32
CID370,38
CID371,62
CID372,38
CID373,58
CID374,41
CID375,19
CID376,24
CID377,62
CID378,40
CID379,61
CID380,59
CID381,31
CID382,57
CID383,17
CID384,58
CID385,63
CID386,45
CID387,50
CID388,43
CID389,44
CID390,28
CID391,17
CID392,18
CID393,63
CID394,26
CID395,53
CID396,56
CID397,29
CID398,17
CID399,26
CID400,55
CID401,44
CID402,36
CID403,30
CID404,33
CID405,36
CID406,23
CID407,39
CID408,50
CID409,21
CID410,25
CID411,63
CID412,26
CID413,61
CID414,23
CID415,62
CID416,29
CID417,28
CID418,18
CID419,29
CID420,16
CID421,52
CID422,21
CID423,59
CID424,20
CID425,32
CID426,62
CID427,49
CID428,46
CID429,19
CID430,57
CID431,60
CID432,33
CID433,59
CID434,56
CID435,31
CID436,19
CID437,41
CID438,19
CID439,60
CID440,47
CID441,57
CID442,22
CID443,36
CID444,61
CID445,31
CID446,15
CID447,47
CID448,59
CID449,42
CID450,47
CID451,44
CID452,64
CID453,39
CID454,24
CID455,38
CID456,37
CID457,52
CID458,31
CID459,29
CID460,17
CID461,29
CID462,49
CID463,48
CID464,51
CID465,26
CID466,19
CID467,28
CID468,16
CID469,59
CID470,18
CID471,35
CID472,24
CID473,40
CID474,46
CID475,29
CID476,59
CID477,16
CID478,45
CID479,61
CID480,44
CID481,22
CID482,52
CID483,38
CID484,18
CID485,31
CID486,45
CID487,36
CID488,56
CID489,16
CID490,53
CID491,49
CID492,42
CID493,64
CID494,34
CID495,18
CID496,28
CID497,18
CID498,51
CID499,62
